"rownames"	"log2FoldChange_D2"	"pvalue_D2"	"padj_D2"	"sig_D2"	"sigadj_D2"	"TDE_D2"	"logFC_ER"	"PValue_ER"	"FDR_ER"	"sig_ER"	"sigadj_ER"	"TDE_ER"	"color"
"AB_009910_T.1"	"AB_009910_T.1"	-2.50809323447606	9.00977910629004e-05	0.0579744632493202	4.04528585653429	1.23676326354271	FALSE	2.52827357855258	4.66925716811346e-05	0.0439880343721102	4.3307522058257	1.35666544426135	TRUE	"Col_3"
"AB_018011_T.1"	"AB_018011_T.1"	1.72560800573524	0.000177203275126302	0.0816248249764503	3.75152825560847	1.08817773694925	FALSE	-1.70886518851231	5.46529439106311e-05	0.0461854639415681	4.26238643957507	1.33549468945043	TRUE	"Col_3"
"AB_022144_T.1"	"AB_022144_T.1"	5.73033684273667	9.55540952007443e-05	0.0592081486188316	4.01975069547476	1.22761851867135	FALSE	-5.42014097975315	1.31072046180342e-05	0.018749512965067	4.88248992069822	1.72701000896725	TRUE	"Col_3"
"AB_022370_T.1"	"AB_022370_T.1"	-5.61998528273347	0.000230912642505713	0.0983665859258121	3.63655228873652	1.00715240169536	FALSE	5.46531531324374	5.46090979574757e-05	0.0461854639415681	4.26273499715657	1.33549468945043	TRUE	"Col_3"
"AB_030413_T.1"	"AB_030413_T.1"	9.32812965780157	0.000648418227221376	0.181466330020795	3.18814478551013	0.741203943865698	FALSE	-9.71934812598591	6.20152733988707e-07	0.00209628537344565	6.20750133734108	2.67854959588848	TRUE	"Col_3"
"AB_030668_T.1"	"AB_030668_T.1"	-7.79236290309781	0.000197723835164813	0.0882111936615287	3.70394097430492	1.05447630107024	FALSE	7.59342151314374	1.4518260530679e-06	0.00359888320874826	5.83808541443354	2.44383224687839	TRUE	"Col_3"
"AB_037280_T.1"	"AB_037280_T.1"	6.71763418508311	0.000115007501694675	0.0675114211702423	3.9392738306173	1.17062274966341	FALSE	-7.12138296970285	4.15147297859666e-05	0.0410471325207347	4.38179778449842	1.38671717652065	TRUE	"Col_3"
"AB_040445_T.1"	"AB_040445_T.1"	-7.91468175463445	0.0214508764617151	0.944403061064456	1.66855495827133	0.0248426139257465	FALSE	7.78490586944452	4.73205866897348e-05	0.0439880343721102	4.32494987954422	1.35666544426135	TRUE	"Col_3"
"AB_043178_T.1"	"AB_043178_T.1"	6.3290694530987	8.72830307849696e-05	0.0572645139228447	4.0590701818705	1.24211442134206	FALSE	-5.90472411693887	4.9910690520361e-05	0.0452641269663069	4.30180642157632	1.34424585168522	TRUE	"Col_3"
