"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ID.baseMean"	"ID.log2FoldChange"	"ID.lfcSE"	"ID.stat"	"ID.pvalue"	"ID.padj"
"AB_015079_T.1"	2577.02056388395	-2.09435928882889	0.319127480820722	-6.56276696523496	5.28183594822894e-11	1.82302567753122e-06	2577.02056388395	-2.09435928882889	0.319127480820722	-6.56276696523496	5.28183594822894e-11	1.82302567753122e-06
"AB_023740_T.1"	260.901247879909	-2.91119402403436	0.457576533654561	-6.36220131479056	1.98882530898672e-10	3.43221527698383e-06	260.901247879909	-2.91119402403436	0.457576533654561	-6.36220131479056	1.98882530898672e-10	3.43221527698383e-06
"AB_016050_T.1"	253.505748180195	-1.61229257549374	0.278214970059886	-5.7951323580708	6.82673194204042e-09	7.8541550993175e-05	253.505748180195	-1.61229257549374	0.278214970059886	-5.7951323580708	6.82673194204042e-09	7.8541550993175e-05
"AB_045446_T.1"	673.971126621821	1.2497433907271	0.217593992522246	5.74346458852411	9.27587691141224e-09	8.00392228993484e-05	673.971126621821	1.2497433907271	0.217593992522246	5.74346458852411	9.27587691141224e-09	8.00392228993484e-05
"AB_029211_T.1"	82.7067048754348	-3.26559288615974	0.606691680318743	-5.38262348421205	7.34079842335332e-08	0.00050673531516408	82.7067048754348	-3.26559288615974	0.606691680318743	-5.38262348421205	7.34079842335332e-08	0.00050673531516408
"AB_008838_T.1"	1837.954645139	1.72269178594106	0.326385439654766	5.27809018614076	1.30537219633404e-07	0.000750915355941154	1837.954645139	1.72269178594106	0.326385439654766	5.27809018614076	1.30537219633404e-07	0.000750915355941154
"AB_002157_T.1"	65.3063438546145	-4.25444297525972	0.823963528790656	-5.16338748816228	2.42520376611413e-07	0.0011957986855347	65.3063438546145	-4.25444297525972	0.823963528790656	-5.16338748816228	2.42520376611413e-07	0.0011957986855347
"AB_025706_T.1"	105.352316143418	-2.49164817073672	0.490911434689391	-5.07555537449079	3.86365812313243e-07	0.00166379795681222	105.352316143418	-2.49164817073672	0.490911434689391	-5.07555537449079	3.86365812313243e-07	0.00166379795681222
"AB_028063_T.1"	269.60565842625	-3.71711217888739	0.735555827632601	-5.05347390265532	4.33845621072287e-07	0.00166379795681222	269.60565842625	-3.71711217888739	0.735555827632601	-5.05347390265532	4.33845621072287e-07	0.00166379795681222
"AB_000074_T.1"	737.647953763397	1.04178308131798	0.215784095199607	4.82789558866375	1.37983401529923e-06	0.00406059774094852	737.647953763397	1.04178308131798	0.215784095199607	4.82789558866375	1.37983401529923e-06	0.00406059774094852
"AB_001427_T.1"	752.850579393238	1.45331605651282	0.300652362917483	4.83387538487997	1.33900423670781e-06	0.00406059774094852	752.850579393238	1.45331605651282	0.300652362917483	4.83387538487997	1.33900423670781e-06	0.00406059774094852
"AB_024237_T.1"	128.611581452091	-1.61168460868006	0.334143129304045	-4.82333607169145	1.41176801076002e-06	0.00406059774094852	128.611581452091	-1.61168460868006	0.334143129304045	-4.82333607169145	1.41176801076002e-06	0.00406059774094852
"AB_010587_T.1"	110.851957432497	-2.02117662456826	0.427911297643785	-4.72335419910036	2.3198629264313e-06	0.0060372511811815	110.851957432497	-2.02117662456826	0.427911297643785	-4.72335419910036	2.3198629264313e-06	0.0060372511811815
"AB_014152_T.1"	107.744446613991	-3.29185417701223	0.700652483482176	-4.69826947683399	2.62375105657605e-06	0.0060372511811815	107.744446613991	-3.29185417701223	0.700652483482176	-4.69826947683399	2.62375105657605e-06	0.0060372511811815
"AB_022196_T.1"	453.605101637801	-1.3941721464514	0.296110338839389	-4.70828594474575	2.49808507914839e-06	0.0060372511811815	453.605101637801	-1.3941721464514	0.296110338839389	-4.70828594474575	2.49808507914839e-06	0.0060372511811815
"AB_016551_T.1"	174.486293757105	-1.35113239484354	0.293107688942592	-4.60967912413984	4.03290932419153e-06	0.00869974158277943	174.486293757105	-1.35113239484354	0.293107688942592	-4.60967912413984	4.03290932419153e-06	0.00869974158277943
"AB_021908_T.1"	5405.74870351517	1.39943139215183	0.3074315292889	4.55200998865913	5.31358121841856e-06	0.0107881326913951	5405.74870351517	1.39943139215183	0.3074315292889	4.55200998865913	5.31358121841856e-06	0.0107881326913951
"AB_007825_T.1"	249.25901047505	-1.76182410567834	0.401615609464759	-4.38684170674132	1.150084246407e-05	0.0220528654248542	249.25901047505	-1.76182410567834	0.401615609464759	-4.38684170674132	1.150084246407e-05	0.0220528654248542
"AB_003677_T.1"	194.559835454251	1.51279503851169	0.348313902296555	4.3431945395728	1.4042567994834e-05	0.025509433386405	194.559835454251	1.51279503851169	0.348313902296555	4.3431945395728	1.4042567994834e-05	0.025509433386405
"AB_012029_T.1"	265.806431254373	-1.87080232420011	0.4319634667151	-4.33092719258591	1.48482776230825e-05	0.0256244151080346	265.806431254373	-1.87080232420011	0.4319634667151	-4.33092719258591	1.48482776230825e-05	0.0256244151080346
