"FoldChange"	"pValue"	"color"
"AB_022800_T.1"	-1.80053867690463	0	"Col_2"
"AB_032451_T.1"	-1.38531330648488	0	"Col_2"
"AB_026380_T.1"	-1.21886647087871	0	"Col_2"
"AB_040455_T.1"	-1.69713226182035	0	"Col_2"
"AB_045120_T.1"	-1.38089935740464	0	"Col_2"
"AB_044184_T.1"	-2.27980123217578	0	"Col_2"
"AB_045483_T.1"	-1.29858010039436	0	"Col_2"
"AB_020832_T.1"	-1.86162675638238	0	"Col_2"
"AB_032552_T.1"	-1.14797772197004	0	"Col_2"
"AB_023284_T.1"	-1.19616631362144	0	"Col_2"
"AB_008075_T.1"	-1.67466201186284	0	"Col_2"
"AB_011165_T.1"	-1.65069368273212	0	"Col_2"
"AB_001979_T.1"	-2.0186160635081	0	"Col_2"
"AB_028895_T.1"	-1.6617824421088	0	"Col_2"
"AB_036902_T.1"	-1.89785720112782	0	"Col_2"
"AB_021533_T.1"	-4.74143952541048	0	"Col_2"
"AB_009511_T.1"	-1.69895136769005	0	"Col_2"
"AB_042153_T.1"	-1.60050507141058	0	"Col_2"
"AB_042934_T.1"	-1.37230615124923	0	"Col_2"
"AB_001126_T.1"	-1.16279309475303	0	"Col_2"
"AB_032568_T.1"	-1.59855831229217	0	"Col_2"
"AB_038437_T.1"	-1.6544835205595	0	"Col_2"
"AB_014276_T.1"	-2.50756011474686	0	"Col_2"
"AB_023350_T.1"	-2.13693220389527	0	"Col_2"
"AB_024311_T.1"	-1.67862143305203	0	"Col_2"
"AB_028408_T.1"	-2.09866909582873	0	"Col_2"
"AB_004499_T.1"	-2.46952397217942	0	"Col_2"
"AB_017722_T.1"	-1.93055552897029	0	"Col_2"
"AB_021811_T.1"	-1.83880757514558	0	"Col_2"
"AB_010642_T.1"	-1.19490903793195	0	"Col_2"
"AB_016675_T.1"	-1.43437558813241	0	"Col_2"
"AB_024101_T.1"	-1.8909089706363	0	"Col_2"
"AB_038873_T.1"	-2.38458907544817	0	"Col_2"
"AB_030321_T.1"	-2.27973053584699	0	"Col_2"
"AB_029900_T.1"	-1.84995997916403	0	"Col_2"
"AB_045938_T.1"	-1.66788537421049	0	"Col_2"
"AB_023354_T.1"	-1.24700348318828	0	"Col_2"
"AB_023572_T.1"	-4.23975050571455	0	"Col_2"
"AB_041018_T.1"	-1.39548220681533	0	"Col_2"
"AB_036244_T.1"	-1.26570965886739	0	"Col_2"
"AB_032669_T.1"	-2.61419736150741	0	"Col_2"
"AB_026365_T.1"	-2.27387384023569	0	"Col_2"
"AB_001050_T.1"	-1.20630225287088	0	"Col_2"
"AB_013133_T.1"	-1.07625939391174	0	"Col_2"
"AB_029796_T.1"	-1.09037074075957	0	"Col_2"
"AB_025922_T.1"	-1.54137458830171	0	"Col_2"
"AB_015629_T.1"	-1.28354173485525	0	"Col_2"
"AB_013866_T.1"	-1.10231121153352	0	"Col_2"
"AB_031589_T.1"	-1.74769386905631	0	"Col_2"
"AB_010799_T.1"	-1.11655486996394	0	"Col_2"
"AB_012643_T.1"	-1.94659541416703	0	"Col_2"
"AB_030551_T.1"	-1.56425139782542	0	"Col_2"
"AB_036334_T.1"	-1.15349854784229	0	"Col_2"
"AB_020224_T.1"	-1.17317151038416	0	"Col_2"
"AB_042588_T.1"	-1.11758715977599	0	"Col_2"
"AB_021567_T.1"	-1.43370961006666	0	"Col_2"
"AB_026928_T.1"	-2.75162612140026	0	"Col_2"
"AB_026259_T.1"	-1.01328864667599	0	"Col_2"
"AB_040737_T.1"	-1.78694740392341	0	"Col_2"
"AB_021717_T.1"	-1.51710971295597	0	"Col_2"
"AB_039897_T.1"	-2.24718001665214	0	"Col_2"
"AB_041269_T.1"	-2.13716681917575	0	"Col_2"
"AB_036938_T.1"	-1.24570335674397	0	"Col_2"
"AB_027699_T.1"	-2.24439485956894	0	"Col_2"
"AB_020554_T.1"	-1.96613282639606	0	"Col_2"
"AB_033149_T.1"	-1.32918094416628	0	"Col_2"
"AB_043203_T.1"	-2.06849822540474	0	"Col_2"
"AB_003673_T.1"	-1.83564688175905	0	"Col_2"
"AB_032473_T.1"	-1.93712234252348	0	"Col_2"
"AB_045918_T.1"	-2.54410221369433	0	"Col_2"
"AB_043841_T.1"	-1.05284567358997	0	"Col_2"
"AB_027802_T.1"	-1.18852521835401	0	"Col_2"
"AB_017344_T.1"	-1.08533048295883	0	"Col_2"
"AB_038537_T.1"	-1.22519290650941	0	"Col_2"
"AB_043528_T.1"	-1.292177875795	0	"Col_2"
"AB_027039_T.1"	-1.10327801457041	0	"Col_2"
"AB_016086_T.1"	-1.52454384973934	0	"Col_2"
"AB_044850_T.1"	-1.03334411252129	0	"Col_2"
"AB_021494_T.1"	-1.5454881300382	0	"Col_2"
"AB_018299_T.1"	-1.66716750350528	0	"Col_2"
"AB_028366_T.1"	-2.1649074600238	0	"Col_2"
"AB_009002_T.1"	-2.70530564616589	0	"Col_2"
"AB_045620_T.1"	-1.54258036244732	0	"Col_2"
"AB_032553_T.1"	-1.16145796520939	0	"Col_2"
"AB_039976_T.1"	-1.54646707667411	0	"Col_2"
"AB_032869_T.1"	-1.96235635747728	0	"Col_2"
"AB_041681_T.1"	-3.56747300973996	0	"Col_2"
"AB_031945_T.1"	-2.09395024425221	0	"Col_2"
"AB_019202_T.1"	-1.23957927375844	0	"Col_2"
"AB_043354_T.1"	-1.19010997096586	0	"Col_2"
"AB_033402_T.1"	-1.468180292127	0	"Col_2"
"AB_038693_T.1"	-1.47757401809227	0	"Col_2"
"AB_035036_T.1"	-1.44995582174595	0	"Col_2"
"AB_033896_T.1"	-1.45512905345416	0	"Col_2"
"AB_035815_T.1"	-2.49703556201594	0	"Col_2"
"AB_000618_T.1"	-1.11054485604814	0	"Col_2"
"AB_002953_T.1"	-2.47105023243764	0	"Col_2"
"AB_006268_T.1"	-1.43193334554546	0	"Col_2"
"AB_010760_T.1"	-2.65396061577369	0	"Col_2"
"AB_001377_T.1"	-1.15459920248056	0	"Col_2"
"AB_039633_T.1"	-1.40934804634855	0	"Col_2"
"AB_044038_T.1"	-1.04858954274921	0	"Col_2"
"AB_044728_T.1"	-1.55001280480099	0	"Col_2"
"AB_020469_T.1"	-1.23082534968352	0	"Col_2"
"AB_026682_T.1"	-1.11790368461019	0	"Col_2"
"AB_042961_T.1"	-2.57804558704198	0	"Col_2"
"AB_030942_T.1"	-1.50812871526794	0	"Col_2"
"AB_024127_T.1"	-1.55555555920122	0	"Col_2"
"AB_024320_T.1"	-1.18720595613626	0	"Col_2"
"AB_043610_T.1"	-1.27370802835449	0	"Col_2"
"AB_000550_T.1"	-2.11148640638363	0	"Col_2"
