"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ID.baseMean"	"ID.log2FoldChange"	"ID.lfcSE"	"ID.stat"	"ID.pvalue"	"ID.padj"
"AB_015079_T.1"	2577.02056388395	-2.09435928882887	0.31912748082436	-6.56276696516008	5.2818359508824e-11	1.82302567844706e-06	2577.02056388395	-2.09435928882887	0.31912748082436	-6.56276696516008	5.2818359508824e-11	1.82302567844706e-06
"AB_023740_T.1"	260.901247879909	-2.91119402403436	0.457576533654158	-6.36220131479617	1.98882530891407e-10	3.43221527685846e-06	260.901247879909	-2.91119402403436	0.457576533654158	-6.36220131479617	1.98882530891407e-10	3.43221527685846e-06
"AB_016050_T.1"	253.505748180195	-1.61229257549387	0.278214970067688	-5.79513235790873	6.82673194863302e-09	7.85415510690229e-05	253.505748180195	-1.61229257549387	0.278214970067688	-5.79513235790873	6.82673194863302e-09	7.85415510690229e-05
"AB_045446_T.1"	673.971126621821	1.24974339072708	0.217593992532291	5.74346458825889	9.27587692594771e-09	8.00392230247713e-05	673.971126621821	1.24974339072708	0.217593992532291	5.74346458825889	9.27587692594771e-09	8.00392230247713e-05
"AB_029211_T.1"	82.7067048754348	-3.26559288615956	0.606691680315465	-5.38262348424084	7.34079842217895e-08	0.000506735315083013	82.7067048754348	-3.26559288615956	0.606691680315465	-5.38262348424084	7.34079842217895e-08	0.000506735315083013
"AB_008838_T.1"	1837.954645139	1.72269178594106	0.32638543965812	5.27809018608651	1.30537219672038e-07	0.000750915356163397	1837.954645139	1.72269178594106	0.32638543965812	5.27809018608651	1.30537219672038e-07	0.000750915356163397
"AB_002157_T.1"	65.3063438546145	-4.25444297526021	0.823963528780809	-5.16338748822459	2.42520376530656e-07	0.00119579868513651	65.3063438546145	-4.25444297526021	0.823963528780809	-5.16338748822459	2.42520376530656e-07	0.00119579868513651
"AB_025706_T.1"	105.352316143418	-2.49164817073673	0.490911434689729	-5.07555537448732	3.8636581232029e-07	0.00166379795620294	105.352316143418	-2.49164817073673	0.490911434689729	-5.07555537448732	3.8636581232029e-07	0.00166379795620294
"AB_028063_T.1"	269.60565842625	-3.71711217888735	0.735555827622418	-5.05347390272523	4.33845620913414e-07	0.00166379795620294	269.60565842625	-3.71711217888735	0.735555827622418	-5.05347390272523	4.33845620913414e-07	0.00166379795620294
"AB_000074_T.1"	737.647953763397	1.04178308131797	0.215784095209658	4.82789558843881	1.37983401685737e-06	0.00406059774305607	737.647953763397	1.04178308131797	0.215784095209658	4.82789558843881	1.37983401685737e-06	0.00406059774305607
