"FoldChange"	"pValue"	"color"
"AB_027731_T.1"	1.19783788839784	0	"Col_1"
"AB_040542_T.1"	4.18475339083683	0	"Col_1"
"AB_032791_T.1"	1.29847989104797	0	"Col_1"
"AB_009406_T.1"	1.89968167177274	0	"Col_1"
"AB_027994_T.1"	2.07081985500795	0	"Col_1"
"AB_003114_T.1"	1.32379882257676	0	"Col_1"
"AB_037609_T.1"	1.28965413581787	0	"Col_1"
"AB_018541_T.1"	2.06964284058403	0	"Col_1"
"AB_001480_T.1"	2.1365327099103	0	"Col_1"
"AB_042296_T.1"	4.27966207584554	0	"Col_1"
"AB_040116_T.1"	1.47021667360248	0	"Col_1"
"AB_006311_T.1"	1.97613044630648	0	"Col_1"
"AB_022094_T.1"	1.65188800939433	0	"Col_1"
"AB_035535_T.1"	2.03563151154414	0	"Col_1"
"AB_040176_T.1"	4.92187686434601	0	"Col_1"
"AB_021942_T.1"	1.0086506924977	0	"Col_1"
"AB_007507_T.1"	1.25295160773727	0	"Col_1"
"AB_024784_T.1"	4.63167190621903	0	"Col_1"
"AB_030079_T.1"	4.00705545194972	0	"Col_1"
"AB_001669_T.1"	4.00813053593966	0	"Col_1"
"AB_028510_T.1"	2.26822108506297	0	"Col_1"
"AB_017390_T.1"	4.01130829194719	0	"Col_1"
"AB_041365_T.1"	4.14440181352851	0	"Col_1"
"AB_035448_T.1"	1.38130804029049	0	"Col_1"
"AB_044288_T.1"	3.28719414253837	0	"Col_1"
"AB_045079_T.1"	3.92362331025983	0	"Col_1"
"AB_005639_T.1"	1.32038042647016	0	"Col_1"
"AB_004998_T.1"	1.85232461032187	0	"Col_1"
"AB_036297_T.1"	4.28966006725143	0	"Col_1"
"AB_038618_T.1"	1.18239706757672	0	"Col_1"
"AB_020167_T.1"	1.90900483333429	0	"Col_1"
"AB_026543_T.1"	1.97206445452289	0	"Col_1"
"AB_002828_T.1"	1.03481486529243	0	"Col_1"
"AB_012600_T.1"	2.26714301825943	0	"Col_1"
"AB_001538_T.1"	2.60428640484001	0	"Col_1"
"AB_033430_T.1"	2.29526421806145	0	"Col_1"
"AB_021668_T.1"	3.62283260406694	0	"Col_1"
"AB_036824_T.1"	1.10079506396198	0	"Col_1"
"AB_004044_T.1"	1.35544743588041	0	"Col_1"
"AB_031970_T.1"	4.23368603556701	0	"Col_1"
"AB_029709_T.1"	4.2358533936303	0	"Col_1"
"AB_027997_T.1"	3.09322932959722	0	"Col_1"
"AB_025575_T.1"	1.48146008667926	0	"Col_1"
"AB_024026_T.1"	3.4492956520745	0	"Col_1"
"AB_014141_T.1"	1.33018269609299	0	"Col_1"
"AB_016557_T.1"	2.21461101480313	0	"Col_1"
"AB_013304_T.1"	2.08174911992794	0	"Col_1"
"AB_034015_T.1"	2.59903263491782	0	"Col_1"
"AB_001520_T.1"	2.2017615253732	0	"Col_1"
"AB_037429_T.1"	4.14380301726057	0	"Col_1"
"AB_036730_T.1"	4.1495631367765	0	"Col_1"
"AB_029352_T.1"	4.15425688768498	0	"Col_1"
"AB_030275_T.1"	2.96553570046554	0	"Col_1"
"AB_010283_T.1"	2.7239980537647	0	"Col_1"
"AB_020843_T.1"	1.15841143096842	0	"Col_1"
"AB_016311_T.1"	1.49453391618301	0	"Col_1"
"AB_038512_T.1"	3.91440450046411	0	"Col_1"
"AB_021284_T.1"	1.78357276448186	0	"Col_1"
"AB_006750_T.1"	2.50963687247477	0	"Col_1"
"AB_017772_T.1"	2.09463673911174	0	"Col_1"
"AB_014893_T.1"	1.73376418457607	0	"Col_1"
"AB_033416_T.1"	3.24676143216146	0	"Col_1"
"AB_023637_T.1"	1.59115774297448	0	"Col_1"
"AB_014434_T.1"	1.10216659298492	0	"Col_1"
"AB_005890_T.1"	1.41514356959903	0	"Col_1"
"AB_016035_T.1"	1.43172441489483	0	"Col_1"
"AB_021504_T.1"	1.44219518053043	0	"Col_1"
"AB_020223_T.1"	1.62306847952744	0	"Col_1"
"AB_022451_T.1"	1.04789214406038	0	"Col_1"
"AB_038488_T.1"	4.41005208409097	0	"Col_1"
"AB_040651_T.1"	1.11222279623261	0	"Col_1"
"AB_041506_T.1"	4.11807653987618	0	"Col_1"
"AB_016949_T.1"	1.60574758131931	0	"Col_1"
"AB_043254_T.1"	4.43752288440527	0	"Col_1"
"AB_008093_T.1"	1.2696270757983	0	"Col_1"
"AB_030984_T.1"	3.14212481760183	0	"Col_1"
"AB_041915_T.1"	1.28361409387701	0	"Col_1"
"AB_042824_T.1"	1.79306358306778	0	"Col_1"
"AB_013429_T.1"	1.80904144421854	0	"Col_1"
"AB_043374_T.1"	1.61220563218904	0	"Col_1"
"AB_042874_T.1"	3.38500955779353	0	"Col_1"
"AB_021136_T.1"	1.00006946756142	0	"Col_1"
"AB_030620_T.1"	2.50932738308679	0	"Col_1"
"AB_016355_T.1"	1.04597082236164	0	"Col_1"
"AB_026473_T.1"	5.27415959561278	0	"Col_1"
