"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ID.baseMean"	"ID.log2FoldChange"	"ID.lfcSE"	"ID.stat"	"ID.pvalue"	"ID.padj"
"AB_045531_T.1"	55.5040714438778	-4.55371649927007	0.84544688081589	-5.38616511882516	7.1976844399926e-08	0.00237595563364156	55.5040714438778	-4.55371649927007	0.84544688081589	-5.38616511882516	7.1976844399926e-08	0.00237595563364156
"AB_000588_T.1"	15.0709527716106	-7.25042637960125	1.43615107890909	-5.04851229517492	4.45263820035697e-07	0.00313118607860765	15.0709527716106	-7.25042637960125	1.43615107890909	-5.04851229517492	4.45263820035697e-07	0.00313118607860765
"AB_025313_T.1"	106.885206004931	1.25388617567934	0.245820553982397	5.10081909492859	3.38186692170097e-07	0.00313118607860765	106.885206004931	1.25388617567934	0.245820553982397	5.10081909492859	3.38186692170097e-07	0.00313118607860765
"AB_035458_T.1"	143.113749337589	2.77612100997703	0.544203295624943	5.10125725495476	3.37404572019057e-07	0.00313118607860765	143.113749337589	2.77612100997703	0.544203295624943	5.10125725495476	3.37404572019057e-07	0.00313118607860765
"AB_036475_T.1"	1604.27560623545	-1.41617386344335	0.281185689692321	-5.03643647368028	4.74278412391344e-07	0.00313118607860765	1604.27560623545	-1.41617386344335	0.281185689692321	-5.03643647368028	4.74278412391344e-07	0.00313118607860765
"AB_029334_T.1"	2367.78414331206	1.18486935304166	0.239309908932059	4.95119219395988	7.37602128505759e-07	0.00405804104366252	2367.78414331206	1.18486935304166	0.239309908932059	4.95119219395988	7.37602128505759e-07	0.00405804104366252
"AB_029013_T.1"	1422.77917830358	1.38755504428167	0.286293752742052	4.84661307133673	1.25587023672573e-06	0.00592232521633092	1422.77917830358	1.38755504428167	0.286293752742052	4.84661307133673	1.25587023672573e-06	0.00592232521633092
"AB_038616_T.1"	122.290131351492	5.10609747109706	1.10030522158925	4.64061913995278	3.47366831955497e-06	0.0143332239035637	122.290131351492	5.10609747109706	1.10030522158925	4.64061913995278	3.47366831955497e-06	0.0143332239035637
"AB_011671_T.1"	70.2883798424632	-1.42215043074787	0.309632016696863	-4.59303416332487	4.36847513570874e-06	0.0160225960255273	70.2883798424632	-1.42215043074787	0.309632016696863	-4.59303416332487	4.36847513570874e-06	0.0160225960255273
"AB_015092_T.1"	952.486894046839	-1.61485721406328	0.354695883193131	-4.55279378921913	5.29381572714324e-06	0.0174748857152998	952.486894046839	-1.61485721406328	0.354695883193131	-4.55279378921913	5.29381572714324e-06	0.0174748857152998
"AB_008969_T.1"	847.598636864479	0.755326696968582	0.170719977175656	4.42436034414073	9.67284521529951e-06	0.0277974049426842	847.598636864479	0.755326696968582	0.170719977175656	4.42436034414073	9.67284521529951e-06	0.0277974049426842
"AB_044701_T.1"	87.0586367961531	-4.23041414665954	0.958210188404483	-4.41491250860482	1.01050851048837e-05	0.0277974049426842	87.0586367961531	-4.23041414665954	0.958210188404483	-4.41491250860482	1.01050851048837e-05	0.0277974049426842
"AB_001118_T.1"	49.5560259611715	-1.12301902515534	0.264534273338792	-4.24526852789724	2.18331793633135e-05	0.0465889418309521	49.5560259611715	-1.12301902515534	0.264534273338792	-4.24526852789724	2.18331793633135e-05	0.0465889418309521
"AB_007841_T.1"	111.856644543248	-0.988981485847522	0.231766408422256	-4.26714765344983	1.97988125412505e-05	0.0465889418309521	111.856644543248	-0.988981485847522	0.231766408422256	-4.26714765344983	1.97988125412505e-05	0.0465889418309521
"AB_023831_T.1"	243.653526438598	-1.36387840678632	0.319664581709514	-4.26659218701215	1.98481499641603e-05	0.0465889418309521	243.653526438598	-1.36387840678632	0.319664581709514	-4.26659218701215	1.98481499641603e-05	0.0465889418309521
"AB_024445_T.1"	1400.8224122288	0.515250128358477	0.121587101225516	4.23770386138909	2.25817349074594e-05	0.0465889418309521	1400.8224122288	0.515250128358477	0.121587101225516	4.23770386138909	2.25817349074594e-05	0.0465889418309521
"AB_020879_T.1"	691.556934871756	0.5305773823246	0.125843676561462	4.2161624391629	2.48494795392833e-05	0.048251842328926	691.556934871756	0.5305773823246	0.125843676561462	4.2161624391629	2.48494795392833e-05	0.048251842328926
