"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_025313_T.1"	1.27768316567889	4.19598360844519e-07	0.0044129159610018	6.37716621704085	2.35527434312174	TRUE
"AB_029334_T.1"	1.18733797355558	7.50204573539048e-07	0.0047339408999461	6.12482029254904	2.32477716824629	TRUE
"AB_035458_T.1"	2.83060503780495	6.49429296824605e-07	0.0047339408999461	6.18746812352913	2.32477716824629	TRUE
"AB_029013_T.1"	1.37161629191113	1.1893370869469e-06	0.00625412907171028	5.92469503835603	2.2038331601009	TRUE
"AB_038616_T.1"	4.95152740138291	4.43587189754023e-06	0.0174945242799115	5.35302100422592	1.75709786257909	TRUE
"AB_031912_T.1"	5.4070545995642	2.93525112507018e-05	0.0420955037486769	4.53235473681272	1.37576428899615	TRUE
"AB_021803_T.1"	2.23139385408674	3.8877002109932e-05	0.0457495857211532	4.41030723184533	1.33961283427145	TRUE
"AB_030948_T.1"	1.91315381610074	3.91505440230464e-05	0.0457495857211532	4.40726219875124	1.33961283427145	TRUE
"AB_014823_T.1"	1.03318840629332	4.31144460305404e-05	0.0485822816681993	4.36537718969613	1.31352209239958	TRUE
