"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ID.baseMean"	"ID.log2FoldChange"	"ID.lfcSE"	"ID.stat"	"ID.pvalue"	"ID.padj"
"AB_000610_T.1"	217.666690356075	-3.05466966553313	0.374553741713438	-8.15549098924816	3.47764157747186e-16	6.03179543404607e-12	217.666690356075	-3.05466966553313	0.374553741713438	-8.15549098924816	3.47764157747186e-16	6.03179543404607e-12
"AB_043005_T.1"	418.392301875828	-3.55638723265008	0.434280357367524	-8.18915056211112	2.63076268879784e-16	6.03179543404607e-12	418.392301875828	-3.55638723265008	0.434280357367524	-8.18915056211112	2.63076268879784e-16	6.03179543404607e-12
"AB_002607_T.1"	125.914810926384	-1.98083557814962	0.307089826490808	-6.45034581830703	1.11595212870736e-10	1.29037544642432e-06	125.914810926384	-1.98083557814962	0.307089826490808	-6.45034581830703	1.11595212870736e-10	1.29037544642432e-06
"AB_000596_T.1"	67.9711991217966	-3.01244517437003	0.477180673871396	-6.31300750286024	2.73664224628431e-10	2.37328457203391e-06	67.9711991217966	-3.01244517437003	0.477180673871396	-6.31300750286024	2.73664224628431e-10	2.37328457203391e-06
"AB_001483_T.1"	1290.0095443845	2.00067444826186	0.320477854793445	6.24278532303373	4.298466845275e-10	2.98219032791489e-06	1290.0095443845	2.00067444826186	0.320477854793445	6.24278532303373	4.298466845275e-10	2.98219032791489e-06
"AB_018867_T.1"	836.140230501533	1.43988043312864	0.239512467636758	6.01171390924147	1.83572077496731e-09	1.06132196604735e-05	836.140230501533	1.43988043312864	0.239512467636758	6.01171390924147	1.83572077496731e-09	1.06132196604735e-05
"AB_013152_T.1"	521.127006036013	-1.81855573566602	0.307193776564273	-5.91989771409165	3.22141908240212e-09	1.59639723642067e-05	521.127006036013	-1.81855573566602	0.307193776564273	-5.91989771409165	3.22141908240212e-09	1.59639723642067e-05
"AB_013716_T.1"	81.309151818936	-3.94760032631571	0.687821906817574	-5.73927682033352	9.50816932893551e-09	4.12286107314305e-05	81.309151818936	-3.94760032631571	0.687821906817574	-5.73927682033352	9.50816932893551e-09	4.12286107314305e-05
"AB_028089_T.1"	586.363739839476	1.87526841370363	0.331337236423803	5.65969715309942	1.5164035311404e-08	5.84472467685881e-05	586.363739839476	1.87526841370363	0.331337236423803	5.65969715309942	1.5164035311404e-08	5.84472467685881e-05
"AB_040057_T.1"	216.597919715303	1.53156921529011	0.27229480708422	5.62467287455979	1.85859842537491e-08	6.44729207778302e-05	216.597919715303	1.53156921529011	0.27229480708422	5.62467287455979	1.85859842537491e-08	6.44729207778302e-05
"AB_021533_T.1"	13.7294300030553	-21.8891173037502	3.91107586184776	-5.59669975141031	2.18470577732827e-08	6.62772024556487e-05	13.7294300030553	-21.8891173037502	3.91107586184776	-5.59669975141031	2.18470577732827e-08	6.62772024556487e-05
"AB_024101_T.1"	73.9729233008942	-3.28233773451533	0.587356519611373	-5.5883226369686	2.29273380457143e-08	6.62772024556487e-05	73.9729233008942	-3.28233773451533	0.587356519611373	-5.5883226369686	2.29273380457143e-08	6.62772024556487e-05
"AB_002327_T.1"	159.495068836199	-1.43660904811262	0.258257717102538	-5.56269552844468	2.65639129999947e-08	7.08827367736012e-05	159.495068836199	-1.43660904811262	0.258257717102538	-5.56269552844468	2.65639129999947e-08	7.08827367736012e-05
"AB_032550_T.1"	697.211923702173	-1.11181356665093	0.200402248949997	-5.54790962913963	2.89105231780124e-08	7.16340813230052e-05	697.211923702173	-1.11181356665093	0.200402248949997	-5.54790962913963	2.89105231780124e-08	7.16340813230052e-05
"AB_028624_T.1"	841.92995678396	-1.82067949277609	0.330108147326549	-5.5154030808426	3.47981472634059e-08	8.04741953613525e-05	841.92995678396	-1.82067949277609	0.330108147326549	-5.5154030808426	3.47981472634059e-08	8.04741953613525e-05
"AB_043324_T.1"	104.980464297183	2.15882451549906	0.394932856267165	5.46630770583104	4.5950639833754e-08	9.96238590745684e-05	104.980464297183	2.15882451549906	0.394932856267165	5.46630770583104	4.5950639833754e-08	9.96238590745684e-05
"AB_000071_T.1"	94.3214564794733	6.19075148201113	1.1878393781944	5.21177492147254	1.87042398018838e-07	0.00038166551440444	94.3214564794733	6.19075148201113	1.1878393781944	5.21177492147254	1.87042398018838e-07	0.00038166551440444
"AB_031334_T.1"	754.672415252079	-1.73556607806	0.335246934151589	-5.17697822487834	2.25508524636716e-07	0.000434592511729057	754.672415252079	-1.73556607806	0.335246934151589	-5.17697822487834	2.25508524636716e-07	0.000434592511729057
"AB_020437_T.1"	682.983779903766	-1.72650355969823	0.340944230578862	-5.06388847456648	4.10790022690733e-07	0.000749994478795729	682.983779903766	-1.72650355969823	0.340944230578862	-5.06388847456648	4.10790022690733e-07	0.000749994478795729
"AB_038019_T.1"	477.279833655503	-1.60026795333443	0.321125232026013	-4.98331427660845	6.25043062498349e-07	0.00108410593975026	477.279833655503	-1.60026795333443	0.321125232026013	-4.98331427660845	6.25043062498349e-07	0.00108410593975026
"AB_041144_T.1"	58.3434477123025	-2.06473835783145	0.41576597266028	-4.96610712180271	6.83102319525695e-07	0.0011283874458108	58.3434477123025	-2.06473835783145	0.41576597266028	-4.96610712180271	6.83102319525695e-07	0.0011283874458108
"AB_000214_T.1"	148.197729619426	-1.99252920158029	0.405813315461417	-4.90996506439111	9.10926199678164e-07	0.0013625654679475	148.197729619426	-1.99252920158029	0.405813315461417	-4.90996506439111	9.10926199678164e-07	0.0013625654679475
"AB_010580_T.1"	795.366077658303	-1.34868210343591	0.27636599012559	-4.88005815340385	1.06054563794236e-06	0.0013625654679475	795.366077658303	-1.34868210343591	0.27636599012559	-4.88005815340385	1.06054563794236e-06	0.0013625654679475
"AB_021997_T.1"	468.131452400927	-2.97076573033491	0.605901302226626	-4.90305222883272	9.43588826305642e-07	0.0013625654679475	468.131452400927	-2.97076573033491	0.605901302226626	-4.90305222883272	9.43588826305642e-07	0.0013625654679475
"AB_028487_T.1"	296.84044856082	1.96120828474161	0.400996386767772	4.89083779669417	1.00407682871076e-06	0.0013625654679475	296.84044856082	1.96120828474161	0.400996386767772	4.89083779669417	1.00407682871076e-06	0.0013625654679475
